Postal_Code,City_Name,State,Website_Low,Website_High,COD_Serviceable
110001,NEW DELHI,DL,2,4,COD
110002,NEW DELHI,DL,2,4,COD
110003,NEW DELHI,DL,2,4,COD
110004,NEW DELHI,DL,2,4,COD
110005,NEW DELHI,DL,2,4,COD
110006,NEW DELHI,DL,2,4,COD
110007,NEW DELHI,DL,2,4,COD
110008,NEW DELHI,DL,2,4,COD
110009,NEW DELHI,DL,2,4,COD
110010,NEW DELHI,DL,2,4,COD
110011,NEW DELHI,DL,2,4,COD
110012,NEW DELHI,DL,2,4,COD
110013,NEW DELHI,DL,2,4,COD
110014,NEW DELHI,DL,2,4,COD
110015,NEW DELHI,DL,2,4,COD
110016,NEW DELHI,DL,2,4,COD
110017,NEW DELHI,DL,2,4,COD
110018,NEW DELHI,DL,2,4,COD
110019,NEW DELHI,DL,2,4,COD
110020,NEW DELHI,DL,2,4,COD
110021,NEW DELHI,DL,2,4,COD
110022,NEW DELHI,DL,2,4,COD
110023,NEW DELHI,DL,2,4,COD
110024,NEW DELHI,DL,2,4,COD
110025,NEW DELHI,DL,2,4,COD
110026,NEW DELHI,DL,2,4,COD
110027,NEW DELHI,DL,2,4,COD
110028,NEW DELHI,DL,2,4,COD
110029,NEW DELHI,DL,2,4,COD
110030,NEW DELHI,DL,2,4,COD
110031,NEW DELHI,DL,2,4,COD
110032,NEW DELHI,DL,2,4,COD
110033,NEW DELHI,DL,2,4,COD
110034,NEW DELHI,DL,2,4,COD
110035,NEW DELHI,DL,2,4,COD
110036,NEW DELHI,DL,2,4,COD
110037,NEW DELHI,DL,2,4,COD
110038,NEW DELHI,DL,2,4,COD
110039,NEW DELHI,DL,2,4,COD
110040,NEW DELHI,DL,2,4,COD
110041,NEW DELHI,DL,2,4,COD
110042,NEW DELHI,DL,2,4,COD
110043,NEW DELHI,DL,2,4,COD
110044,NEW DELHI,DL,2,4,COD
110045,NEW DELHI,DL,2,4,COD
110046,NEW DELHI,DL,2,4,COD
110047,NEW DELHI,DL,2,4,COD
110048,NEW DELHI,DL,2,4,COD
110049,NEW DELHI,DL,2,4,COD
110050,NEW DELHI,DL,2,4,COD
110051,NEW DELHI,DL,2,4,COD
110052,NEW DELHI,DL,2,4,COD
110053,NEW DELHI,DL,2,4,COD
110054,NEW DELHI,DL,2,4,COD
110055,NEW DELHI,DL,2,4,COD
110056,NEW DELHI,DL,2,4,COD
110057,NEW DELHI,DL,2,4,COD
110058,NEW DELHI,DL,2,4,COD
110059,NEW DELHI,DL,2,4,COD
110060,NEW DELHI,DL,2,4,COD
110061,NEW DELHI,DL,2,4,COD
110062,NEW DELHI,DL,2,4,COD
110063,NEW DELHI,DL,2,4,COD
110064,NEW DELHI,DL,2,4,COD
110065,NEW DELHI,DL,2,4,COD
110066,NEW DELHI,DL,2,4,COD
110067,NEW DELHI,DL,2,4,COD
110068,NEW DELHI,DL,2,4,COD
110069,NEW DELHI,DL,2,4,COD
110070,NEW DELHI,DL,2,4,COD
110071,NEW DELHI,DL,2,4,COD
110072,NEW DELHI,DL,2,4,COD
110073,NEW DELHI,DL,2,4,COD
110074,NEW DELHI,DL,2,4,COD
110075,NEW DELHI,DL,2,4,COD
110076,NEW DELHI,DL,2,4,COD
110077,NEW DELHI,DL,2,4,COD
110078,NEW DELHI,DL,2,4,COD
110080,NEW DELHI,DL,2,4,COD
110081,NEW DELHI,DL,2,4,COD
110082,NEW DELHI,DL,2,4,COD
110083,NEW DELHI,DL,2,4,COD
110084,NEW DELHI,DL,2,4,COD
110085,NEW DELHI,DL,2,4,COD
110086,NEW DELHI,DL,2,4,COD
110087,NEW DELHI,DL,2,4,COD
110088,NEW DELHI,DL,2,4,COD
110089,NEW DELHI,DL,2,4,COD
110090,NEW DELHI,DL,2,4,COD
110091,NEW DELHI,DL,2,4,COD
110092,NEW DELHI,DL,2,4,COD
110093,NEW DELHI,DL,2,4,COD
110094,NEW DELHI,DL,2,4,COD
110095,NEW DELHI,DL,2,4,COD
110096,NEW DELHI,DL,2,4,COD
110101,NEW DELHI,DL,2,4,COD
110103,NEW DELHI,DL,2,4,COD
110104,NEW DELHI,DL,2,4,COD
110105,NEW DELHI,DL,2,4,COD
110106,NEW DELHI,DL,2,4,COD
110107,NEW DELHI,DL,2,4,COD
110108,NEW DELHI,DL,2,4,COD
110109,NEW DELHI,DL,2,4,COD
110110,NEW DELHI,DL,2,4,COD
110112,NEW DELHI,DL,2,4,COD
110113,NEW DELHI,DL,2,4,COD
110114,NEW DELHI,DL,2,4,COD
110115,NEW DELHI,DL,2,4,COD
110116,NEW DELHI,DL,2,4,COD
110117,NEW DELHI,DL,2,4,COD
110118,NEW DELHI,DL,2,4,COD
110119,NEW DELHI,DL,2,4,COD
110120,NEW DELHI,DL,2,4,COD
110122,NEW DELHI,DL,2,4,COD
110124,NEW DELHI,DL,2,4,COD
110125,NEW DELHI,DL,2,4,COD
110301,NEW DELHI,DL,2,4,COD
110302,NEW DELHI,DL,2,4,COD
110501,NEW DELHI,DL,2,4,COD
110503,NEW DELHI,DL,2,4,COD
110504,NEW DELHI,DL,2,4,COD
110510,NEW DELHI,DL,2,4,COD
110511,NEW DELHI,DL,2,4,COD
110512,NEW DELHI,DL,2,4,COD
110601,NEW DELHI,DL,2,4,COD
110602,NEW DELHI,DL,2,4,COD
110603,NEW DELHI,DL,2,4,COD
110604,NEW DELHI,DL,2,4,COD
110605,NEW DELHI,DL,2,4,COD
110606,NEW DELHI,DL,2,4,COD
110607,NEW DELHI,DL,2,4,COD
110608,NEW DELHI,DL,2,4,COD
110609,NEW DELHI,DL,2,4,COD
121001,FARIDABAD,HR,2,4,COD
121002,FARIDABAD,HR,2,4,COD
121003,FARIDABAD,HR,2,4,COD
121004,BALLABHGARH,HR,2,4,COD
121005,FARIDABAD,HR,2,4,COD
121006,FARIDABAD,HR,2,4,COD
121007,FARIDABAD,HR,2,4,COD
121008,BALLABHGARH,HR,3,5,No COD
121009,BALLABHGARH,HR,3,5,No COD
121102,BALLABHGARH,HR,3,5,No COD
122001,GURGAON,HR,2,4,COD
122002,GURGAON,HR,2,4,COD
122003,GURGAON,HR,2,4,COD
122004,GURGAON,HR,2,4,COD
122005,GURGAON,HR,2,4,COD
122006,GURGAON,HR,2,4,COD
122007,GURGAON,HR,2,4,COD
122008,GURGAON,HR,2,4,COD
122009,GURGAON,HR,2,4,COD
122010,GURGAON,HR,2,4,COD
122011,GURGAON,HR,2,4,COD
122012,GURGAON,HR,2,4,COD
122015,GURGAON,HR,2,4,COD
122016,GURGAON,HR,2,4,COD
122017,GURGAON,HR,2,4,COD
122018,GURGAON,HR,2,4,COD
122022,GURGAON,HR,2,4,No COD
122050,SHAHBAD,HR,2,4,COD
122051,GURGAON,HR,2,4,COD
122100,Dharuhera,HR,3,5,No COD
122101,GURGAON,HR,3,5,COD
122102,GURGAON,HR,3,5,COD
122103,GURGAON,HR,3,5,COD
122105,GURGAON,HR,3,5,COD
122106,DHARUHERA,HR,3,5,No COD
122413,GURGAON,HR,3,5,COD
122503,Dharuhera,HR,3,5,No COD
123106,DHARUHERA,HR,3,5,No COD
123401,REWARI,HR,3,5,No COD
123413,BILASPUR,HR,3,5,COD
123501,Dharuhera,HR,3,5,No COD
124001,ROHTAK,HR,4,6,COD
124021,ROHTAK,HR,4,6,COD
124022,ROHTAK,HR,4,6,COD
124102,JHAJJAR,HR,4,6,COD
124103,JHAJJAR,HR,4,6,COD
124104,JHAJJAR,HR,4,6,COD
124105,JHAJJAR,HR,4,6,COD
124106,JHAJJAR,HR,4,6,COD
124107,JHAJJAR,HR,4,6,COD
124108,JHAJJAR,HR,4,6,COD
124109,JHAJJAR,HR,4,6,COD
124111,ROHTAK,HR,4,6,COD
124112,ROHTAK,HR,4,6,COD
124113,ROHTAK,HR,4,6,COD
124142,JHAJJAR,HR,4,6,COD
124146,JHAJJAR,HR,4,6,COD
124201,JHAJJAR,HR,4,6,COD
124202,JHAJJAR,HR,4,6,COD
124303,ROHTAK,HR,4,6,COD
124401,ROHTAK,HR,4,6,COD
