"Reward Points","Reward Points"
"Rewards Information","Rewards Information"
"Available Points Balance","Available Points Balance"
"Change Balance","Change Balance"
"Enter positive or negative number of points. E.g. 10 or -10","Enter positive or negative number of points. E.g. 10 or -10"
"Message in the rewards history","Message in the rewards history"
"Customer will see this in his account","Customer will see this in his account"
"No Records Found","No Records Found"
ID,ID
"Balance Change","Balance Change"
Comment,Comment
"Created At","Created At"
"Expires At","Expires At"
"Earning Rules","Earning Rules"
"Add New Earning Rule","Add New Earning Rule"
Save,Save
Delete,Delete
"Save And Continue Edit","Save And Continue Edit"
"Edit Earning Rule '%1'","Edit Earning Rule '%1'"
"Create New Earning Rule","Create New Earning Rule"
Conditions,Conditions
Event,Event
"Number of Inactive Days","Number of Inactive Days"
Actions,Actions
"Customer Earning Style","Customer Earning Style"
"Number of points to give (X)","Number of points to give (X)"
"Step (Y)","Step (Y)"
"Quantity Step (Z)","Quantity Step (Z)"
"Maximum number of earned points for one customer per day","Maximum number of earned points for one customer per day"
"Set 0 to disable limit","Set 0 to disable limit"
"Apply the rule only if the following conditions are met","Apply the rule only if the following conditions are met"
"Number of Points (X)","Number of Points (X)"
"Earn Maximum","Earn Maximum"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Apply the rule only to cart items matching the following conditions (leave blank for all items)"
"Apply To","Apply To"
"Apply the rule only if the following conditions are met (leave blank for all products)","Apply the rule only if the following conditions are met (leave blank for all products)"
"General Information","General Information"
"Rule Name","Rule Name"
Type,Type
"Is Active","Is Active"
No,No
Yes,Yes
"Active From","Active From"
"Active To","Active To"
Websites,Websites
"Customer Groups","Customer Groups"
"Stop further rules processing","Stop further rules processing"
Priority,Priority
"Arranged in the ascending order. 0 is the highest.","Arranged in the ascending order. 0 is the highest."
Notifications,Notifications
"Message for customer notification email","Message for customer notification email"
Filters,Filters
"Maximum Distributed Points","Maximum Distributed Points"
Message,Message
"Conditions & Actions","Conditions & Actions"
Notification,Notification
"Number of points to earn","Number of points to earn"
All,All
Website,Website
Disabled,Disabled
Enabled,Enabled
"Change status","Change status"
Status,Status
"Are you sure?","Are you sure?"
"Spending Rules","Spending Rules"
"Notification Rules","Notification Rules"
Transactions,Transactions
"Customer Referrals","Customer Referrals"
Reports,Reports
"Refresh Statistics","Refresh Statistics"
Settings,Settings
"Add New Notification Rule","Add New Notification Rule"
"Edit Notification Rule '%1'","Edit Notification Rule '%1'"
"Create New Notification Rule","Create New Notification Rule"
"Show message on","Show message on"
"If you insert a variable like ##100.00, it will be converted to the price in currency of customer. E.g. ##100.00 will be displayed as '$100.00' in USD and as '€88' in Euro.<br><br>","If you insert a variable like ##100.00, it will be converted to the price in currency of customer. E.g. ##100.00 will be displayed as '$100.00' in USD and as '€88' in Euro.<br><br>"
"Edit Referral '%1'","Edit Referral '%1'"
"Create New Referral","Create New Referral"
"Affiliate Customer","Affiliate Customer"
"Referral Customer","Referral Customer"
"Referral Email","Referral Email"
"Referral Name","Referral Name"
Store,Store
"Add New Spending Rule","Add New Spending Rule"
"Edit Spending Rule '%1'","Edit Spending Rule '%1'"
"Create New Spending Rule","Create New Spending Rule"
"Points spending style","Points spending style"
"For each spent X points","For each spent X points"
"Customer receive Y discount","Customer receive Y discount"
"Spend minimum","Spend minimum"
"Spend maximum","Spend maximum"
Discount,Discount
"Are you sure ?","Are you sure ?"
"Add New Transaction","Add New Transaction"
"Edit Transaction '%1'","Edit Transaction '%1'"
"Create New Transaction","Create New Transaction"
Name,Name
Email,Email
